ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:32:23.514","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.36","18.69","-92.60","14.67","11.98","-36.08","0.000000","0.000000","",""
"06:32:23.681","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.71","-92.69","14.71","11.91","-36.12","0.000000","0.000000","",""
"06:32:23.853","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.37","18.70","-92.77","14.63","11.83","-36.16","0.000000","0.000000","",""
"06:32:24.031","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.36","18.69","-92.86","14.57","11.81","-36.20","0.000000","0.000000","",""
"06:32:24.204","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.70","-92.94","14.58","12.07","-36.24","0.000000","0.000000","",""
"06:32:24.349","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-93.03","14.67","11.83","-36.27","0.000000","0.000000","",""
"06:32:24.519","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-93.12","14.60","11.84","-36.31","0.000000","0.000000","",""
"06:32:24.708","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.69","-93.20","14.57","12.00","-36.34","0.000000","0.000000","",""
"06:32:24.849","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-93.29","14.67","11.93","-36.38","0.000000","0.000000","",""
"06:32:25.017","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.66","-93.37","14.78","12.00","-36.42","0.000000","0.000000","",""
"06:32:25.201","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-93.46","14.65","11.91","-36.45","0.000000","0.000000","",""
"06:32:25.350","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-93.55","14.60","11.90","-36.49","0.000000","0.000000","",""
"06:32:25.523","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-93.63","14.64","11.77","-36.53","0.000000","0.000000","",""
"06:32:25.693","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.69","-93.72","14.50","11.83","-36.56","0.000000","0.000000","",""
"06:32:25.851","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-93.80","14.50","11.82","-36.60","0.000000","0.000000","",""
"06:32:26.023","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-93.89","14.58","11.77","-36.64","0.000000","0.000000","",""
"06:32:26.188","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-93.97","14.59","11.91","-36.67","0.000000","0.000000","",""
"06:32:26.354","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-94.06","14.70","11.83","-36.71","0.000000","0.000000","",""
"06:32:26.538","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-94.14","14.64","11.82","-36.75","0.000000","0.000000","",""
"06:32:26.689","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.70","-94.23","14.70","11.90","-36.78","0.000000","0.000000","",""
